院校,简称,类型,类别,2026是否招生,主校区,学费(普通),学费(中外合作),招生电话,官网,综合满意度,环境满意度,生活满意度,满意度来源,转专业限制,住宿评分,住宿说明,最低综合分(原始),最低综合分(百分制),数据年份,招生简章链接
嘉兴大学,嘉大,省属,省内地方属三位一体,是,梁林校区,4800-6325元/年,,0573-83640000,https://zsb.zjxu.edu.cn,4.2,4.3,4.1,阳光高考网,章程未单独限制，按学校转专业相关规定执行,,梁林(主校区)、平湖两校区，公寓以四人间、六人间为主，上床下桌，独立卫浴；空调以寝室为单位租赁(梁林租金1700元/建筑2000/医本1800/护理1500/专升本800，平湖400元/年)；门禁23:30-06:00。,73.02,73,2026,https://zsb.zjxu.edu.cn/info/10443/86745.htm
浙大城市学院,浙大城院,省属,省内地方属三位一体,是,校本部,5500元/年,工业设计(中外合作办学)63000元/年,0571-88018551,https://zs.hzcu.edu.cn,4.4,4.5,4.1,阳光高考网,受限：中外合作办学专业与非中外合作办学专业之间不能互转（章程第二十三条）,,主校区(拱墅区湖州街51号)南北两区，宿舍四人间上床下桌，配空调、独立卫浴；住宿费1600元/生·年。,75.888,75.9,2026,https://zs.hzcu.edu.cn/guide/show-898.html
浙大宁波理工学院,浙大宁理,省属,省内地方属三位一体,是,校本部,5500-6325元/年,国际经济与贸易/金融学(中外合作办学)28800元/年,0574-88229100,https://zsw.nbt.edu.cn,4.2,4.4,3.7,阳光高考网,受限：普通专业按学校转专业政策执行；中外合作办学专业(项目)入学后不能转出该专业(项目),,一/二/三/四期学生公寓。一期四人间独卫(套间10/14人共用卫浴)；二期四/五人间无独卫、公浴刷卡洗澡；三期四人间独卫；空调、热水器均需租用。,75.6,75.6,2026,https://zsw.nbt.edu.cn/info/1033/3492.htm
杭州师范大学,杭师大,省属,省内地方属三位一体,是,仓前校区,4800-5500元/年,,0571-28865518,https://www.hznu.edu.cn,4.4,4.6,4.4,阳光高考网,受限：师范类与非师范类之间转专业有相应规定。,4.2,下沙、仓前等校区，宿舍4-6人间，独立卫浴、阳台、空调、饮水机、电风扇；门禁周日至周四23:00、周五六23:30；住宿费550-1200元/年。,74,74,2025,https://undergrad.hznu.edu.cn/Details/20260305/410257202603050257729421.html
湖州师范大学,湖州师范,省属,省内地方属三位一体,是,主校区(东校区),4800-6300元/年,,0572-2599888,https://zsw.zjhu.edu.cn/,4.2,4.4,4.1,阳光高考网,不限,,东、中、西三校区，除27幢为五人寝外均为四人间，上床下桌、独卫独浴；空调租赁(年几百元)；热水分时段(6:00-8:00、11:00-13:00、16:00-23:00)；23:00断电断网(±10分钟)。,67.94,67.9,2025,https://zsw.zjhu.edu.cn/2026/0306/c3200a247479/page.htm
绍兴大学,绍兴大学,省属,省内地方属三位一体,是,南山校区(主校区),5500元/年,25000元/年(学前教育中外合作办学),0575-88345555,https://zs.usx.edu.cn/,4.2,4.4,4,阳光高考网,受限：学前教育(中外合作办学)(师范)录取学生不得申请转专业；其余三位一体录取学生入学一学期后可申请转专业,,书院制管理(步青/仲申等)，公寓4-6人间，配空调、独卫、热水器、阳台；南山校区条件较好；23:00关门，不断电但23:00后断网(移动edu)，大一原则禁带电脑。,72.16,72.2,2025,https://zs.usx.edu.cn/info/1010/7025.htm
温州大学,温大,省属,省内地方属三位一体,是,茶山校区,4800-5500元/年,,0577-86680800,https://www.wzu.edu.cn,4.4,4.7,4.3,阳光高考网,可按规定参加校内转专业。,3.8,五个生活区(A-E区)，寝室分4人间(少量)、6人间及10/14人套间；每间独立卫浴、阳台、空调(租赁)、宽带；各区统一23:00-6:00熄灯；热水三段供应(早6-9、中10:30-14、晚16-23:30)。,70,70,2025,https://zs.wzu.edu.cn/info/1247/10044.htm
浙江外国语学院,浙外,省属,省内地方属三位一体,是,小和山校区(主校区),4800-5500元/年,25000元/年(西班牙语中外合作办学),0571-88213107,https://zs.zisu.edu.cn/,3.7,3.5,3.4,阳光高考网,受限：西班牙语(中外合作办学)(旅游方向)三位一体招录学生入校后不能转专业,,小和山校区雅致苑、雅仪苑、雅正苑三幢宿舍楼，4-5人间，独立卫浴、空调(租赁)、共享洗衣机；布局为高低铺加学习位或上床下桌；地铁3号线屏峰站距校门50米内。,,,2026,https://swyt.zisu.edu.cn/Default/NewsShow?newsId=142
浙江水利水电学院,浙水院,省属,省内地方属三位一体,是,钱塘校区(主校区),5500-6325元/年,,0571-86929123,https://zhaosheng.zuwe.edu.cn/,4.5,4.5,4.5,阳光高考网,三位一体录取学生转专业条件与普通类录取学生一致,,钱塘(下沙)校区以6人间为主(上下铺、独立卫浴、空调租赁)，南浔校区为新校区，2/4人间上床下桌、干湿分离、部分楼栋带电梯。,,,2025,https://zhaosheng.zuwe.edu.cn/newstudent/view/aid/1210/tag/zsjz
浙江警察学院,浙警,省属,省内地方属三位一体,是,滨江校区,治安学/侦查学/经济犯罪侦查6000元/年；涉外警务/警务指挥与战术6900元/年；刑事科学技术/交通管理工程/网络安全与执法/数据警务技术6600元/年,,0571-87787029,https://www.zjjcxy.cn/zsxxw,3.9,3.6,3.9,阳光高考网,受限：公安院校公安专业，入学后实行警务化管理，按公安专业培养，原则上不得转专业,,公安院校，实行警务化公寓管理：本科多4人间，独立卫浴+空调，内务叠『豆腐块』、统一作息，原则上必须住校、走读极难。,,,2025,https://www.zjjcxy.cn/zsxxw/xwgg/271286.html
杭州医学院,杭医,省属,省内地方属三位一体,是,临安校区(主校区),5500-6300元/年,,0571-87692654,https://zs.hmc.edu.cn/,4.2,4.3,3.9,阳光高考网,不限,,临安校区以4人间为主，独立卫生间+淋浴间+热水、可租空调；滨江校区4或6人间，设施相对旧一些。,74.2,74.2,2025,https://swyt.hmc.edu.cn/st/zs_news.jsp?neId=151
丽水学院,丽院,省属,省内地方属三位一体,是,主校区,4800-5520元/年,,0578-2271179,https://zsw.lsu.edu.cn,4.2,4.4,4.2,阳光高考网,受限：三位一体录取学生，学业成绩在同专业同年级排名前10%的，在符合转入专业选考科目要求时可申请转专业,,莲都校区公寓600–1200元/年，4/5/6人间，全部装空调，配自习室、洗衣机、开水器、空气能热水器；部分六人间为公卫。,,,2026,https://zsw.lsu.edu.cn/2026/0305/c617a363505/page.htm
嘉兴南湖学院,南湖学院,省属,省内地方属三位一体,是,主校区,4800-5500元/年,,0573-83636666,https://zsb.jxnhu.edu.cn,4.1,3.8,3.8,阳光高考网,三位一体录取学生转专业视同普通类招生录取学生,,越秀校区公寓，女生多为4人间或教室改造的8人间(上床下桌)、无独卫用公共浴室；男生部分无独卫无阳台；住宿费640–1600元/年，空调需租赁。,68.98,69,2025,https://zsb.jxnhu.edu.cn/info/1012/4337.htm
温州肯恩大学,温肯,省属,省内地方属三位一体,是,瓯海校区,65000-75000元/年,中外合作办学，学费较高,0577-55870111,https://www.wku.edu.cn,3.8,4.3,3.9,阳光高考网,受限：中外合作项目内转专业相对灵活，跨项目有限制。,4.5,温肯宿舍为美式公寓：高床/低床四人间、套间、双人间、单人间，均24h热水、不断电、免费WiFi、空调、独立卫浴；公共设施含健身房、厨房、洗衣房。,65,65,2025,https://admission.wku.edu.cn/zh-hans/node/3271
宁波诺丁汉大学,宁诺,省属,省内地方属三位一体,是,主校区,110000元/年(中外合作办学),110000元/年(2+2专业后两年按英国诺丁汉大学国际生学费另计),0574-88180182,https://www.nottingham.edu.cn/cn/Study-with-us,4.7,4.9,4,阳光高考网,三位一体录取学生进校后与高考统招录取学生享受同等转专业政策,,宁诺本科生以四人间为主(3000–4500元/年)，另有单人间(最高1.6万/年)、单人四套间、八人四套间；均空调、独立卫浴、楼栋配电梯与洗衣房。,,,2026,https://www.nottingham.edu.cn/cn/study-with-us/undergraduate/policy-and-requirements/tust.aspx
浙江越秀外国语学院,越秀,省属,省内地方属三位一体,是,稽山校区,33800-48000元/年,48000元/年(中外合作办学),0575-88343001,https://zs.zyufl.edu.cn,4,3.4,3.4,阳光高考网,受限：网络与新媒体、大数据管理与应用(均中外合作办学)不可转专业；其余可按学校转专业文件申请转专业,,越秀宿舍4/6人间为主，镜湖校区较新(四人寝上床下桌、独卫阳台)，稽山校区部分六人间上下铺；均空调(租赁)、独立卫浴、热水器。,66.822,66.8,2026,https://zs.zyufl.edu.cn
宁波财经学院,宁财,省属,省内地方属三位一体,是,海曙校区,32000-38000元/年,,0574-88052238,https://zsw.nbufe.edu.cn,3.9,4,3.2,阳光高考网,受限：广播电视编导(中韩2+2学分互认班)不能转专业；其余按学校转专业相关文件执行,,本部老宿舍无电梯、高楼层搬运行李不便，热水约50元/吨偏贵；新校区为上床下桌，6人间1500元/年、4人间2800元/年。,72,72,2025,https://zsb.nbufe.edu.cn/st/zs_news.jsp?neId=155
温州商学院,温商,省属,省内地方属三位一体,是,主校区,35000元/年,,0577-86698888,https://zsw.wzbc.edu.cn,4.2,4.5,3.9,阳光高考网,受限：三位一体综合评价录取的学生，原则上不可转专业,,独卫独浴、上床下桌4人间为主，住宿费约3000元/年(F区)；周日-周四23:00熄灯断网。,,,2026,https://www.wzbc.edu.cn/Art/Art_46/Art_46_135842.aspx
复旦大学,复旦,部属,高水平三位一体,是,邯郸校区(主校区),暂未公布,,暂未公布,https://ao.fudan.edu.cn,4.6,4.6,4.2,阳光高考网,录取后按学校政策可申请转专业(以当年教务规定为准),,四大校区宿舍差异大：南区/东区多为4人间上床下桌，大量宿舍无独卫需公共浴室；老校区硬件参差、梅雨季返潮。,,,2025,https://www.ao.fudan.edu.cn/e5/4c/c36330a779596/page.htm
上海交通大学,上交,部属,高水平三位一体,是,闵行校区(校本部),理工类7700、文科类7150、医学类8140、其他6500-7400元/学年,张江国际理工学院98000、巴黎卓越工程师学院65000、临床医学五年制(英语班)19500元/学年,021-34200000,https://admissions.sjtu.edu.cn,4.6,4.7,4.5,阳光高考网,受限：录取后按学校政策可申请转专业；张江国际理工学院、巴黎卓越工程师学院、临床医学五年制(英语班)、核工程与核技术仅录取填报其专业志愿的考生,,以闵行校区为主，东三区等4人间独立梳洗间厕所、上床下桌；门禁晚12点、电费0.617元/kwh。,,,2025,https://admissions.sjtu.edu.cn/newDetails?contentsID=3810000004258
浙江大学,浙大,部属,高水平三位一体,是,紫金港校区,5300-6000元/年,,0571-87951006,https://www.zju.edu.cn,4.7,4.8,4.4,阳光高考网,受限：可按学校规定申请转专业，须满足前置课程要求。,4.5,紫金港三大学园为主，蓝田/青溪部分公卫户型、无独卫需公共浴室；熄灯23:35-6:30。,86,86,2025,https://zdzsc.zju.edu.cn/2026/0511/c87333a3161363/page.htm
中国科学院大学,国科大,部属,高水平三位一体,是,北京玉泉路主校区,5500元/学年,,010-88256215,https://admission.ucas.ac.cn,4.4,4.4,4.3,阳光高考网,入学后按学校本科培养政策在招生专业范围内选专业,,雁栖湖校区公寓式套间，单人间带独卫24h热水电梯湖景；玉泉路部分公寓无独卫公共浴室。本科宿舍条件优。,,,2025,https://admission.ucas.ac.cn/ShowArticle/Article/dc7dc7f7-1b95-4d46-80e9-b6b29c4278a2/c4d614c6-6ad0-4d04-b154-a43a1c1d7366
西湖大学,西湖,省属,高水平三位一体,是,杭州主校区(云栖/云谷),暂未公布,,0571-88996767,https://zh-ugadmissions.westlake.edu.cn,,,,暂缺,录取时统一在生物科学专业，入校后可在数学与应用数学、物理学、化学、材料科学与工程、电子信息工程、人工智能、生物科学、临床医学8个专业中任选,,书院制4-5人套间，每人独立卧室，学费6000元/年；住宿以单间套间为主，条件优。,,,2025,https://zh-ugadmissions.westlake.edu.cn/Admissions/ComprehensiveEvaluation/202604/t20260427_66215.shtml
宁波东方理工大学,东方理工,省属,高水平三位一体,是,宁波主校区,96000元/生·学年(2026级本科新生提供四年专项学费减免90000元/生·学年，实缴约6000元/学年),,0574-86603340,https://www.eitech.edu.cn,,,,暂缺,录取统一在计算机科学与技术专业，第一学年末可在8个方向中确认专业,,四室一厅两卫套间、一人一单间(约6.5㎡)，食堂日均约30元；学费9.6万/年(减免后约6000)、住宿费2000元/年。,,,2026,https://www.eitech.edu.cn/2026/0518/c552a6129/page.htm
台州学院,台院,省属,省内地方属三位一体,否,椒江校区,实行学分制收费，按浙江省物价部门核定标准预收（各专业学费不同）,,0576-88669696,https://zs.tzc.edu.cn/,,,,阳光高考网,章程第二十五条：三位一体录取学生入学后转专业办法与浙江省普通类录取的学生相同,,,61.2,61.2,2025,https://zs.tzc.edu.cn/info/1013/2936.htm
宁波工程学院,宁工,省属,省内地方属三位一体,否,风华校区,学分制收费，按浙江省及宁波市物价部门核定标准预收（与普通高考相同专业一致）,,0574-87616666,https://zs.nbut.edu.cn/,,,,阳光高考网,章程：三位一体录取学生入学后若需转专业，依据《全日制普通本科学生转专业管理办法》执行，与普通录取学生相同,,,,,2025,https://zs.nbut.edu.cn/
衢州学院,衢院,省属,省内地方属三位一体,否,主校区,本科：按浙江省物价部门核定标准执行（师范类约4800-5520元/学年，工科类约5500-6300元/学年）,,0570-8015711,https://zs.qzc.edu.cn/,,,,阳光高考网,章程：三位一体录取学生入学后如需转专业，与普通录取学生相同，依据《衢州学院学生转专业管理办法》执行,,,68.44,68.4,2025,https://zs.qzc.edu.cn/2025/0301/c116a76540/page.htm
湖州学院,湖院,省属,省内地方属三位一体,否,学士路校区,按浙江省物价部门核定标准执行,,0572-2117000,https://zsw.zjhzu.edu.cn/,,,,阳光高考网,章程未单独限制，三位一体录取学生转专业按学校普通规定执行,,,70.6,70.6,2025,https://www.zizzs.com/gk/zhejiangxingaokao/192832.html
温州理工学院,温理工,省属,省内地方属三位一体,否,滨海校区,4800-6300元/学年（以浙江省物价部门批复为准）,,0577-86689999,https://zs.wzut.edu.cn/,,,,阳光高考网,章程第二十二条：在校期间可申请转专业，依据《温州理工学院学生转专业实施办法》,,,73.12,73.1,2025,https://zhejiang.eol.cn/zhejiang_gkkx/202503/t20250310_2657708.shtml
金华职业技术大学,金职大,省属,省内地方属三位一体,否,主校区,学前教育(师范)本科：6900元/学年,,400-826-5035,https://zsw.jhc.edu.cn,,,,阳光高考网,受限：据招生宣传解读，三位一体录取学生入学后不能转专业,,,,,2025,https://zsw.jhc.edu.cn
宁波幼儿师范高等专科学校,宁幼,省属,省内地方属三位一体,否,杭州湾校区,6000元/学年（体育教育/音乐教育，均为师范类）,,0574-87212325,http://zsw.ncec.edu.cn,,,,阳光高考网,章程第二十八条：三位一体录取考生与普通高考录取考生享受同等待遇（转专业按学校普通规定执行）,,,,,2025,https://www.ncec.edu.cn/2025/0301/c41a16971/page.htm
